Comment,Designator,Footprint,LCSC Part #
0,R11,R0402,
1.3M,R7,R0402,
1M,R6,R0402,
1k,R10,R0402,
1uF,C3 C6,C0603,
2nH,L1,R0603,C370234
2nH,L2,L0402,C90190
3.3p,C10,C0402,
4.7p,C9,C0402,
5k1,R3 R5,R0402,
10k,R8,R0402,
15p,C11 C12,C0402,
22uF,C2 C4,C0603,
40MHz,Q2,3.2X2.5_KX-7,C9010
100nF,C1 C7 C8 C15 C16 C17,C0402,
BAT60B,D1 D2,SOD323-R,
CA-C03,ANT,CA-C03,
DNP,R9,R0402,
ESP32-C3FH4,IC1,QFN50P500X500X90-33N,
HT7833,LDO,SOT23-5,
JST-PH-2/SMD,BATTERY,B2B-PH-SM4,
JST-SH-4P,J2,1X04_1MM_RA_VERT,C371588
RED,CHARGING,CHIPLED_0402,
TP4054,CHRG,SOT-23-5,
U.FL,J1,U.FL_REDUCED_FOOTPRINT,
USB-C_2-16PIN,J3,USBC_USB-C-16P-5,C2837092
1k65,R15,R0402,
1uF,C5,C0402,
3k3,R16,R0402,
10k,R1 R2 R4,R0402,
10uF,C14,C0603,
100nF,C13,C0402,
1TS003B-2000-3500A-CT,FLASH RESET,1TS003B-2000-3500A-CT,C319396
