Designator,Mid X,Mid Y,Layer,Rotation
ANT, 0.00,34.60,Top,180.0
BATTERY,10.95, 4.62,Top,90.0
C1,-3.12,26.49,Top,90.0
C2,-4.67,26.85,Top,90.0
C3,-1.14,11.02,Top,90.0
C4,-7.14,11.84,Top,90.0
C6, 4.95,13.46,Top,90.0
C7,-6.27,15.29,Top,270.0
C8, 0.91,25.65,Top,90.0
C9, 3.27,25.83,Top,0.0
C10, 2.27,28.93,Top,180.0
C11, 7.21,22.81,Top,180.0
C12, 7.14,17.68,Top,0.0
C15,-1.02,15.62,Top,270.0
C16, 0.05,15.62,Top,270.0
C17,-4.65,20.35,Top,180.0
CHARGING, 7.04,14.38,Top,90.0
CHRG, 5.59, 9.73,Top,90.0
D1, 3.12, 9.68,Top,270.0
D2, 8.51,11.18,Top,0.0
IC1, 1.02,20.04,Top,270.0
J1, 6.71,27.23,Top,90.0
J2,-8.08, 3.81,Top,90.0
J3, 0.00, 6.65,Top,0.0
L1,-1.09,25.98,Top,180.0
L2, 2.77,27.38,Top,90.0
LDO,-3.96,11.86,Top,180.0
Q2, 7.14,20.24,Top,270.0
R3,-4.57, 8.56,Top,270.0
R5,-5.61, 8.56,Top,270.0
R6,-4.14,15.29,Top,270.0
R7,-5.21,15.29,Top,90.0
R8,-8.26,23.11,Top,180.0
R9, 3.30,30.35,Top,0.0
R10, 8.15,14.38,Top,90.0
R11, 2.74,30.91,Top,90.0
